n,Budget,MaxValue,MaxValueDP,MaxValueDP Running Time,2-Approximation,2-Approximation Running Time,MinCostDP,MinCostDP Running Time,FPTAS,FPTAS Running Time
10,2513,991,4051,5709480,4051,982496,4051,12189545,3964,1291781
10,5052,848,4042,7485342,4042,40455,4042,2191690,3858,124784
10,4437,877,4534,1345885,4534,37602,4534,2323636,4428,113500
10,1046,975,1736,291028,1706,38560,1736,2514229,1706,109507
10,5071,930,4740,656699,4740,35607,4740,2530192,4557,91497
10,2109,985,4318,506711,4318,39812,4318,380262,4235,101314
10,2463,931,3315,472389,3114,35682,3315,342742,3211,86316
10,3231,971,5532,577449,5532,24375,5532,324701,5389,81565
10,3319,977,6150,151056,5804,26298,6150,380328,5959,82742
10,1417,936,2356,58616,1957,23557,2356,303481,2246,81230
10,3862,920,4698,169686,4698,23720,4698,304596,4508,83331
10,1992,974,3289,91525,3062,31571,3289,334139,3214,987685
10,1602,922,2454,68229,2340,37321,2454,447334,2397,117599
10,2565,992,4028,183020,4028,28578,4028,341495,3868,89288
10,1214,915,2599,54604,2564,26306,2599,319976,2516,79557
10,1140,842,2816,49495,2816,21313,2816,283609,2736,80035
10,2758,874,3211,116458,3211,48467,3211,352510,3146,106860
10,1569,998,2786,69089,2659,32930,2786,341300,2694,90263
10,4048,849,3561,185027,3447,20686,3561,303610,3480,79981
10,3960,963,6291,183215,6291,17800,6291,374807,6115,79348
10,3007,642,3038,132371,3038,12802,3038,249197,2985,78273
10,3259,858,4011,142024,4011,34984,4011,281219,3818,88455
10,4036,833,4334,179430,4333,14420,4334,293610,4206,79874
10,2717,964,3668,114852,3641,12173,3668,370215,3518,100937
10,1933,907,1940,83168,1940,12857,1940,331082,1904,81043
10,3779,988,5546,167834,5534,15694,5546,323747,5335,80204
10,2769,953,5046,130812,5046,16073,5046,327371,4860,947791
10,2278,930,4266,99058,4266,16867,4266,360405,4185,77509
10,2028,964,4465,84386,4465,14967,4465,327076,4386,76975
10,1881,972,2283,78410,2236,12954,2283,299253,2235,105401
10,1018,998,2062,45567,2062,13005,2062,436087,1996,99452
10,3149,902,3957,164787,3798,25541,3957,353326,3878,87401
10,2939,901,4105,199207,4105,14076,4105,304674,3919,88986
10,1625,893,2558,68432,2558,14610,2558,300064,2500,76316
10,2103,942,2579,93077,2579,13556,2579,322871,2496,97486
10,4746,786,3870,235788,3870,15688,3870,276320,3654,98327
10,1898,974,3921,88377,3921,20444,3921,365803,3798,88675
10,2684,851,3533,128794,3382,12345,3533,291643,3489,91563
10,3752,974,5023,171585,5023,12505,5023,317304,4870,81516
10,2329,977,5221,105241,5221,12310,5221,316243,5031,71937
10,1879,986,3750,77966,3750,11860,3750,374416,3598,70843
10,1389,991,3277,58119,3277,11701,3277,342872,3171,87283
10,1141,849,2333,51125,2324,12558,2333,286155,2249,80155
10,2564,998,4012,107586,3695,11289,4012,322544,3942,70287
10,1998,937,2931,80870,2739,12611,2931,246772,2857,24246
10,3315,698,3284,184577,3284,11442,3284,180551,3175,22129
10,1536,905,3392,61925,3386,12125,3392,221795,3303,22130
10,2045,983,2775,80901,2740,11665,2775,250869,2654,33258
10,4643,764,3976,206509,3972,13421,3976,189307,3858,23181
10,3314,806,5013,141116,5013,11483,5013,272252,4876,55930
10,3834,852,4658,215355,4483,20885,4658,246017,4515,22076
10,4280,964,3376,212911,3376,12010,3376,255981,3181,41032
10,929,996,3281,61852,3281,25472,3281,283060,3187,26120
10,5181,878,5331,241703,5331,16525,5331,292050,5136,32452
10,2271,883,3104,108281,3104,13267,3104,242672,3002,22516
10,1544,744,2377,74194,2289,11479,2377,192272,2269,20309
10,2499,896,2545,116597,2545,12191,2545,254637,2464,26306
10,5252,997,5298,243767,5298,16291,5298,310337,5134,22493
10,3392,945,4680,150839,4416,12337,4680,251886,4536,20582
10,1290,840,2087,55649,1930,9472,2087,220776,2058,20422
10,1379,834,2334,86119,2210,10656,2334,215245,2293,20418
10,4373,901,2406,184707,2406,12209,2406,259650,2252,21408
10,5132,998,6535,224319,6403,14997,6535,257930,6437,20569
10,3321,822,3518,142891,3440,10963,3518,214068,3370,37423
10,3032,925,3337,145143,3337,11487,3337,271551,3237,25749
10,2414,988,3551,111465,3509,10841,3551,353535,3458,20105
10,3107,902,5249,132440,5249,10514,5249,227457,5141,21579
10,3928,849,4829,164151,4829,12401,4829,217286,4669,19708
10,1647,854,2674,89416,2674,10341,2674,211469,2604,20071
10,1307,929,2556,52321,2556,12291,2556,225597,2461,21455
10,918,917,1828,35999,1828,9963,1828,277200,1788,21823
10,2460,990,4177,103250,4108,10194,4177,242109,4108,20227
10,1620,911,2921,64740,2921,13111,2921,230045,2824,19841
10,2267,830,3974,98668,3974,10059,3974,214831,3859,20085
10,4203,928,4214,183650,4211,10229,4214,285599,4083,20940
10,2814,1000,4389,119675,4389,18543,4389,265671,4200,20658
10,1588,977,3628,65175,3628,11509,3628,248184,3419,19200
10,3038,964,3605,125774,3436,11366,3605,243767,3470,29892
10,2486,969,4031,123939,4031,9902,4031,297326,3972,24768
10,1914,957,3995,89005,3995,10955,3995,283830,3875,25760
10,3334,927,4671,156403,4671,9834,4671,255487,4495,22130
10,4009,769,4013,188297,4013,10329,4013,210646,3883,20744
10,3988,999,5351,195321,5351,11410,5351,302123,5244,19303
10,2555,957,3797,110563,3797,10467,3797,242033,3780,18762
10,1639,891,3299,87047,3299,10756,3299,225316,3207,18778
10,3632,889,2869,165215,2869,11107,2869,224961,2711,19148
10,1791,966,3366,73129,3366,11275,3366,297397,3284,18654
10,3587,790,4026,154224,4020,11943,4026,199591,3871,18815
10,2995,948,4739,126373,4642,9165,4739,240493,4550,18802
10,4510,906,2436,193044,2431,9086,2436,235550,2265,18302
10,2617,741,3862,116842,3862,11823,3862,241063,3704,18323
10,1167,951,2036,47046,1916,10224,2036,245303,1949,19009
10,3841,958,5242,161935,5242,10141,5242,239595,5029,20088
10,3757,980,4277,165174,4277,9521,4277,257548,4116,19090
10,4327,861,5010,185636,4855,9008,5010,270778,4864,20102
10,4939,991,5697,214992,5697,9151,5697,243566,5549,35125
10,2015,898,3638,98724,3638,9458,3638,250487,3592,22679
10,3456,967,3621,148600,3621,10549,3621,251449,3481,46466
10,4841,813,4763,215710,4763,15846,4763,251463,4593,20031
10,1323,862,2698,52307,2698,11169,2698,210336,2629,18740
20,1573,981,4165,121783,4012,18577,4165,1031056,4095,63102
20,6239,986,7991,525317,7911,19056,7991,1060278,7863,71496
20,877,989,3426,71984,3426,19287,3426,1082449,3412,63089
20,7339,950,10466,654130,10466,34200,10466,1037725,10283,65382
20,7821,996,10577,660955,10577,28234,10577,1041129,10383,68037
20,3829,985,9064,321402,9015,14830,9064,1022543,8889,60442
20,2547,950,5929,200313,5851,11950,5929,938485,5818,62178
20,6249,926,8598,1504341,8598,20062,8598,741351,8472,77118
20,3645,962,6667,310287,6667,15715,6667,726389,6541,45741
20,6599,965,8617,463014,8617,20624,8617,610886,8419,51598
20,6324,950,7422,412209,7161,15118,7422,578918,7291,50212
20,7259,909,9464,462408,9464,22848,9464,525506,9271,43652
20,10701,1000,9265,664618,9265,13430,9265,582788,9100,44510
20,8463,897,9259,528187,9259,13718,9259,531530,9037,41399
20,2395,981,5162,168134,5162,11535,5162,559379,5076,41056
20,4702,980,8904,274773,8896,12297,8904,543804,8771,40937
20,7858,975,10204,507364,9999,15409,10204,545517,9969,40901
20,1215,879,3343,63329,3089,10133,3343,491994,3274,40477
20,11646,838,8042,746446,8042,15700,8042,476751,7793,40960
20,2810,956,5264,170836,5264,11537,5264,554289,5162,42085
20,4873,995,9402,297536,9402,11907,9402,656717,9203,45915
20,8339,985,10081,550059,10081,14156,10081,578713,9874,41018
20,7858,947,9061,469487,9061,15030,9061,568063,8854,42537
20,1548,977,2329,96168,2262,11412,2329,775546,2271,51216
20,4000,895,6993,321994,6993,23444,6993,625310,6824,42174
20,3050,951,6465,177255,6257,13180,6465,833914,6395,54525
20,6037,961,8989,388964,8932,12326,8989,556213,8817,46337
20,7528,947,9187,485062,9187,21991,9187,537807,9020,87663
20,7513,909,9789,471877,9789,22722,9789,515026,9635,41852
20,10218,904,10070,612615,10070,30232,10070,536416,9898,43099
20,7833,956,10867,479383,10867,14075,10867,694273,10635,44725
20,8410,992,10726,607956,10726,17294,10726,644615,10490,48159
20,2564,967,4794,167447,4681,46347,4794,575499,4738,44494
20,1455,994,2963,80209,2963,9613,2963,591391,2932,44318
20,8973,987,9718,558173,9628,9054,9718,591644,9524,42670
20,8037,988,11508,505400,11353,7890,11508,593908,11337,51901
20,9352,983,9320,579312,9320,7569,9320,564369,9166,44044
20,1013,969,3329,52418,3329,6983,3329,551849,3294,40331
20,9624,984,9596,585944,9596,7358,9596,1839115,9372,49335
20,8586,948,9263,519668,9263,10241,9263,537471,9077,42686
20,6966,987,10979,432036,10979,7707,10979,610797,10807,45090
20,2566,949,5244,160686,5244,8338,5244,580785,5148,44106
20,6444,985,9498,419188,9496,7460,9498,546264,9332,40255
20,8026,992,9773,477776,9709,7216,9773,550961,9523,39625
20,11804,959,11504,701854,11504,7782,11504,532842,11292,39820
20,8254,999,9355,489920,9283,7454,9355,553786,9165,39551
20,3784,955,6487,219310,6482,6817,6487,529625,6374,39432
20,6522,975,9981,386798,9981,6805,9981,549887,9774,40034
20,7737,988,10335,456979,10335,7142,10335,549157,10151,39174
20,4157,987,7192,242163,7006,42181,7192,587543,7106,62583
20,6915,914,8396,432437,8321,10890,8396,837744,8271,65203
20,7153,982,10514,466489,10514,22005,10514,628043,10286,48177
20,7183,978,8679,474440,8679,7258,8679,610396,8508,82579
20,5661,999,10710,335991,10710,5430,10710,556535,10514,51659
20,5157,961,6055,391362,5881,6544,6055,739402,5886,34883
20,7563,991,9670,458535,9577,5343,9670,569316,9513,34791
20,1748,981,4354,98440,4354,4433,4354,554645,4267,38825
20,8496,890,9245,509814,9245,5217,9245,539485,9078,39592
20,2247,986,4788,129343,4788,4283,4788,577091,4683,35104
20,9523,982,10290,582605,10290,5467,10290,578158,10090,35523
20,5494,985,7201,334886,7201,5328,7201,578174,6993,35661
20,1283,886,5488,71236,5289,4753,5488,520443,5404,35035
20,6469,927,7237,390181,7237,4937,7237,544777,7114,35406
20,1401,949,3581,76420,3581,4669,3581,641537,3535,41112
20,4100,896,8249,298224,8249,5575,8249,547077,8108,37296
20,5499,992,10040,382754,9926,4788,10040,566150,9870,34453
20,4104,935,5684,236296,5620,4724,5684,519272,5563,33951
20,9997,998,7360,595135,7360,5041,7360,560943,7160,34390
20,1450,905,4235,80801,4235,4285,4235,501173,4140,33676
